Number of Animations:,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label:,Integer Address:,Width:,Height:,Draw Function:,Angles:,Frames:,Framerate:,Sprites:,...,Comment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NULL,0,0,0,ANIMATION,1,1,0,NULL,,Exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYOUT_480,1,0,0,TEST,1,1,0,LAYOUT_480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYOUT_720,2,0,0,TEST,1,1,0,LAYOUT_720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYOUT_1080,3,0,0,TEST,1,1,0,LAYOUT_1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEWPORT_480,4,0,0,TEST,1,1,0,VIEWPORT_480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEWPORT_720,5,0,0,TEST,1,1,0,VIEWPORT_720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEWPORT_1080,6,0,0,TEST,1,1,0,VIEWPORT_1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KITTY,7,0,0,ANIMATION,1,77,1,KITTY_0,KITTY_1,KITTY_2,KITTY_3,KITTY_4,KITTY_5,KITTY_6,KITTY_7,KITTY_8,KITTY_9,KITTY_10,KITTY_11,KITTY_12,KITTY_13,KITTY_14,KITTY_15,KITTY_16,KITTY_17,KITTY_18,KITTY_19,KITTY_20,KITTY_21,KITTY_22,KITTY_23,KITTY_24,KITTY_25,KITTY_26,KITTY_27,KITTY_28,KITTY_29,KITTY_30,KITTY_31,KITTY_32,KITTY_33,KITTY_34,KITTY_35,KITTY_36,KITTY_37,KITTY_38,KITTY_39,KITTY_40,KITTY_41,KITTY_42,KITTY_43,KITTY_44,KITTY_45,KITTY_46,KITTY_47,KITTY_48,KITTY_49,KITTY_50,KITTY_51,KITTY_52,KITTY_53,KITTY_54,KITTY_55,KITTY_56,KITTY_57,KITTY_58,KITTY_59,KITTY_60,KITTY_61,KITTY_62,KITTY_63,KITTY_64,KITTY_65,KITTY_66,KITTY_67,KITTY_68,KITTY_69,KITTY_70,KITTY_71,KITTY_72,KITTY_73,KITTY_74,KITTY_75,KITTY_76, end
LIGHTS,8,0,0,ANIMATION,1,6,0.2,LIGHTS0,LIGHTS1,LIGHTS2,LIGHTS3,LIGHTS4,LIGHTS5, A decoration for the tree
